#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
37 0.1049 0.01007 0.1036 0.006483 0.1185 0.005234 0.1754 0.004675 0.1602 0.005172 0.1823 0.007443 0.2024 0.007483 0.3739182 0.1478225 0.2705217 0.08046079 0.1419638 0.07004025 1.2454999685287476 6.0 1460.0
38 0.003068 0.006628 0.01592 0.006463 0.03507 0.004645 0.05409 0.003207 0.04599 0.003967 0.06138 0.004308 0.07589 0.004268 0.1940784 0.1086878 -0.03148194 0.2339672 0.1404855 0.2198173 1.26805 4.0 1262.0
39 0.009671 0.002806 0.008449 0.00263 0.01184 0.001874 0.01446 0.002415 0.02014 0.002914 0.01151 0.002778 0.02101 0.003028 0.0464 0.02241 -0.03574 0.07949 0.01514 0.1019 1.285 3.0 1414.0
40 0.006147 0.005672 0.004927 0.004881 0.008625 0.003534 0.01331 0.004057 0.01578 0.005499 0.01943 0.005142 0.02731 0.005395 0.02829 0.02546 0.06385 0.09155 -0.04432 0.08922 1.3172 2.0 1931.0
41 -0.002338 0.01116 0.01324 0.006816 0.009051 0.005738 0.01894 0.008015 0.02397 0.01045 0.03028 0.01211 0.01709 0.008759 0.02740914 0.1006842 -0.08870182 0.1587463 -0.08773189 0.1255514 1.355 6.0 24281.0
42 0.00402 0.002959 0.007014 0.002542 0.007426 0.00181 0.006153 0.001874 0.01114 0.002471 0.01057 0.002423 0.009884 0.002233 0.0196 0.02223 -0.2644 0.08639 -0.2539 0.08061 1.4195 2.0 22915.0
43 0.01426 0.008336 0.0147 0.006049 0.02685 0.005375 0.03056 0.003805 0.04756 0.004894 0.05047 0.004871 0.0516 0.007468 0.09905507 0.1266136 -0.06003042 0.1930094 0.009533594 0.1125704 1.50135 7.0 1382.0
44 0.008199 0.005685 0.02369 0.004868 0.03571 0.003435 0.0916 0.001793 0.1171 0.00241 0.114 0.002403 0.1342 0.02486 0.5163258 0.2617196 1.479696 0.2574261 0.6493229 0.2026834 1.51275 4.0 2264.0
45 1.259 0.01613 1.548 0.01475 1.997 0.01151 3.568 0.01013 4.583 0.01519 4.777 0.0148 4.945 0.01219 6.806 0.06163 8.061 0.2634 8.651 0.2132 1.5415 1.0 654.0
46 0.2631 0.007998 0.3027 0.007324 0.3229 0.006653 0.4696 0.005832 0.6057 0.008653 0.6134 0.008341 0.5617 0.009262 0.7717 0.05122 0.727 0.2536 0.5644 0.1753 1.6875 1.0 35.0
47 0.3459 0.0085 0.3986 0.007536 0.4272 0.0067 0.6832 0.00581 0.9311 0.008662 0.9396 0.00839 0.8896 0.008034 1.099 0.04884 1.162 0.1279 1.182 0.1143 1.6875 1.0 873.0
48 0.207 0.005963 0.2032 0.005824 0.2047 0.003577 0.2423 0.003206 0.2943 0.004179 0.2854 0.00376 0.2482 0.003472 0.3597 0.02543 -1.895 0.5371 -1.2 0.4783 1.715 3.0 1467.0
49 0.02439 0.00396 0.02876 0.002538 0.02806 0.002064 0.03666 0.001804 0.05315 0.002012 0.05526 0.002895 0.03914 0.001842 0.05886924 0.08980552 0.1509573 0.06868551 0.0663377 0.06029053 1.741 6.0 23064.0
50 0.005705 0.004142 0.009795 0.003841 0.01531 0.002833 0.01913 0.002445 0.02965 0.003389 0.02869 0.003053 0.02445 0.003279 0.08186 0.0335 -1.001 0.5531 -0.8832 0.3813 1.7545000314712524 0.0 1688.0
51 0.004852 0.00327 0.00439 0.002976 0.00742 0.002756 0.006018 0.002417 0.01395 0.003558 0.006658 0.003479 0.006938 0.003026 -0.0117 0.03023 0.03553 0.1248 0.0135 0.1081 1.759 1.0 20730.0
52 0.006562 0.002913 0.006068 0.002691 0.008267 0.002388 0.009488 0.002166 0.0192 0.003219 0.008963 0.003054 0.01594 0.003294 0.04653 0.0315 0.04234 0.1653 0.07093 0.1509 1.7795 1.0 288.0
53 0.07536 0.01065 0.1641 0.008245 0.1905 0.006443 0.1718 0.005684 0.1766 0.00727 0.19 0.006893 0.208 0.0113 0.1796256 0.08672733 0.2019332 0.1136716 0.1584216 0.09885637 1.77965 5.0 1566.0
54 0.002757 0.005358 0.008624 0.005057 0.004039 0.003591 0.01091 0.002411 0.009745 0.003379 0.01967 0.00321 0.02134 0.003132 -0.03399594 0.08784153 0.2718215 0.400312 -0.1746644 0.490928 1.8377 4.0 23018.0
55 0.1461 0.009923 0.1587 0.009469 0.1678 0.006714 0.2734 0.00471 0.4155 0.006425 0.4373 0.006279 0.4829 0.007397 0.4145899 0.1029442 0.5459679 0.09090465 0.9447119 0.1071289 1.8465 4.0 943.0
56 0.005163 0.01174 0.0602 0.01081 0.1758 0.007988 0.771 0.01216 1.583 0.01477 2.374 0.01463 3.2 0.01797 4.952 0.02947 10.24 0.1861 11.95 0.2217 1.8705 3.0 32.0
57 0.02832 0.006347 0.01959 0.004691 0.02004 0.003721 0.02804 0.003307 0.03665 0.004141 0.04092 0.00403 0.04192 0.005892 0.02372668 0.07718072 -0.01740327 0.1693937 -0.07011292 0.1358948 1.9 5.0 1816.0
58 0.002445 0.002751 0.002676 0.002395 0.005647 0.001771 0.004891 0.00149 0.007063 0.001868 0.01094 0.001727 0.007027 0.001697 0.02865 0.02 0.02616 0.101 0.05456 0.1196 1.94 3.0 22088.0
59 0.001315 0.003078 0.005164 0.002881 0.006484 0.002058 0.01061 0.0022 0.02188 0.002992 0.02594 0.00293 0.02434 0.003242 0.04838 0.02565 0.2153 0.1663 0.1548 0.1566 1.944 2.0 1643.0
60 0.002711 0.006237 0.004391 0.003745 0.006637 0.003222 0.006628 0.002689 0.01432 0.003019 0.01235 0.004327 0.01455 0.002796 -0.02344667 0.09129531 -0.03348796 0.06661685 -0.05194842 0.05653493 1.96 6.0 22819.0
61 0.05744 0.007893 0.1284 0.007752 0.1692 0.005607 0.2639 0.005644 0.4064 0.006584 0.5071 0.006353 0.5908 0.007156 0.9074 0.03083 1.518 0.1293 1.869 0.165 2.03275 3.0 318.0
62 0.004463 0.003734 0.003825 0.003419 0.004174 0.002472 0.004205 0.002623 0.009985 0.003464 0.01629 0.003336 0.01037 0.00314 0.01665 0.02782 -0.0394 0.1066 -0.07278 0.1018 2.108999 2.0 22874.0
63 0.06469 0.009841 0.06525 0.00682 0.07175 0.005883 0.08027 0.004067 0.1084 0.005762 0.1298 0.005211 0.1413 0.006817 0.1843603 0.1435792 0.05020345 0.08900507 0.1335488 0.07300533 2.171999 7.0 1724.0
64 0.0153 0.003805 0.01618 0.003478 0.01575 0.002552 0.01732 0.002176 0.02051 0.00276 0.02879 0.002535 0.03303 0.003309 -0.04134 0.02406 0.1783 0.08763 0.148 0.104 2.2875 3.0 2322.0
65 0.01016 0.0052 0.007622 0.003431 0.008836 0.002951 0.006954 0.002609 0.01438 0.003186 0.0182 0.004118 0.02234 0.003452 0.07081064 0.09573337 0.02124621 0.05304488 0.08081073 0.05876572 2.29 6.0 1637.0
66 0.1103 0.008832 0.159 0.008355 0.1784 0.006199 0.1891 0.005567 0.2723 0.007523 0.3341 0.006743 0.3693 0.007365 0.4888 0.04399 0.7213 0.1316 0.7957 0.1262 2.325000047683716 0.0 2165.0
67 0.008272 0.002508 0.01134 0.002474 0.009866 0.00181 0.006849 0.001625 0.009669 0.002202 0.007277 0.001961 0.01056 0.001906 0.01669 0.02563 -0.06335 0.09822 -0.2146 0.1005 2.3315000534057617 0.0 430.0
68 0.1442 0.007484 0.1941 0.006349 0.1755 0.004317 0.1914 0.004063 0.2626 0.005419 0.2887 0.005253 0.3727 0.006207 0.4372 0.03 0.4053 0.1472 0.368 0.1401 2.33215 2.0 654.0
69 0.01275 0.004303 0.02128 0.00407 0.01709 0.003679 0.01735 0.003378 0.03133 0.004967 0.03829 0.004812 0.05256 0.005649 0.08205 0.03252 -0.1183 0.1917 -0.07987 0.1445 2.35965 1.0 2173.0
70 0.01181 0.008504 0.006483 0.005316 0.02174 0.004513 0.01777 0.003911 0.02108 0.004413 0.02059 0.006205 0.03502 0.007539 -0.28794 0.1097315 0.3574137 0.1579645 0.07434328 0.1093935 2.39295 6.0 1546.0
71 0.02502 0.007769 0.02942 0.005843 0.03611 0.005447 0.04034 0.005128 0.0494 0.006278 0.09392 0.006238 0.08872 0.01061 0.06144176 0.07290594 0.1039034 0.08332965 0.115843 0.0796918 2.395 5.0 2082.0
72 -0.001234 0.006357 0.00561 0.004425 0.002003 0.003765 0.003528 0.00253 0.00831 0.003296 0.01169 0.003272 0.01731 0.003251 -0.03709795 0.1091371 0.05328488 0.1779124 0.06202002 0.1523237 2.395 7.0 20459.0
73 0.03709 0.004676 0.06553 0.00434 0.07366 0.003773 0.07294 0.003253 0.1159 0.004803 0.1685 0.004692 0.1975 0.004917 0.2697 0.03844 0.4013 0.2067 0.2962 0.1293 2.41 1.0 1123.0
74 0.02667 0.005152 0.0324 0.004596 0.03197 0.003408 0.02952 0.003146 0.03856 0.004187 0.06295 0.003833 0.07271 0.004368 0.1088 0.03721 -0.03863 0.1991 -0.0008335 0.186 2.4744999408721924 0.0 1388.0
75 0.004541 0.002756 0.006025 0.002623 0.003461 0.001852 0.004161 0.001675 0.006077 0.002258 0.008712 0.002034 0.01345 0.00233 0.01636 0.02823 0.02738 0.1119 0.01256 0.1072 2.527600049972534 0.0 1334.0
76 0.03593 0.01204 0.05823 0.007568 0.06132 0.006631 0.06604 0.00311 0.06869 0.004159 0.09419 0.004175 0.1015 0.005216 -0.008680761 0.1242301 -0.02256767 0.09165043 0.0957849 0.07544269 2.565 7.0 1112.0
