#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST
42 0.1827 0.00716 0.184 0.006245 0.2356 0.00432 0.4027 0.004639 0.4173 0.006189 0.3424 0.005873 0.4111 0.006176 0.4084 0.02811 0.3919 0.1449 0.4264 0.1276 1.3478
43 0.3254 0.01554 0.4252 0.01486 0.7867 0.01051 1.583 0.01035 2.004 0.01246 2.282 0.01362 2.751 0.01518 3.508949 0.137571 5.702038 0.1003808 5.867383 0.1062733 1.38
44 0.713 0.01907 0.7857 0.01355 1.148 0.01121 1.971 0.008042 2.172 0.01129 2.374 0.009986 2.791 0.009323 3.14807 0.1450102 3.817565 0.1192453 4.428038 0.08909654 1.4073
45 0.01012 0.004243 0.005885 0.003338 0.007626 0.002703 0.01736 0.002449 0.01719 0.003054 0.02362 0.002903 0.01752 0.003081 0.06832565 0.07522041 0.02206398 0.1007534 0.1239189 0.0946328 1.43
46 -0.004694 0.01169 0.002474 0.00839 0.01049 0.007222 0.03763 0.004836 0.05032 0.006665 0.05076 0.006496 0.05496 0.006679 0.003179543 0.1315958 -0.07614754 0.132383 -0.02611428 0.1112517 1.44615
47 0.00249 0.00326 0.003015 0.003299 0.001316 0.002339 0.007273 0.002184 0.008685 0.002945 0.008221 0.002652 0.006074 0.002245 -0.02888 0.02581 0.01858 0.1039 0.05794 0.1013 1.5135999917984009
48 0.2613 0.007758 0.2807 0.006329 0.2944 0.00483 0.4082 0.006543 0.6995 0.008221 0.6084 0.008244 0.3584 0.009268 0.3390894 0.08419354 0.398242 0.07508121 0.270991 0.07500254 1.565
49 0.04967 0.006731 0.03703 0.003937 0.03752 0.003227 0.05066 0.002766 0.05452 0.003111 0.06696 0.004381 0.06168 0.003966 0.01782101 0.1094454 0.2277125 0.2094588 0.3048598 0.145652 1.565
50 0.2031 0.02225 0.2765 0.02014 0.2222 0.01485 0.3509 0.01308 0.455 0.0176 0.3946 0.01568 0.5683 0.01573 0.402 0.0626 1.088 0.2509 1.026 0.2115 1.5861999988555908
51 1.188 0.01561 1.46 0.01411 2.108 0.009808 3.871 0.01145 5.047 0.01588 5.241 0.01514 5.597 0.01381 7.112 0.04671 8.48 0.2262 9.07 0.2054 1.624
52 0.02922 0.009788 0.07493 0.008664 0.07005 0.006125 0.1017 0.004473 0.1377 0.005619 0.1455 0.00519 0.1543 0.007017 0.1519 0.0316 -0.04414 0.4716 -0.2163 0.4435 1.645
53 0.00217 0.002486 0.002651 0.002482 0.003781 0.001805 0.004566 0.001596 0.00561 0.002161 0.008128 0.00194 0.004216 0.001644 0.005321 0.02255 0.07247 0.09748 0.1718 0.09982 1.7209999561309814
54 0.01742 0.006078 0.02115 0.00565 0.0203 0.00503 0.03109 0.004477 0.04639 0.006564 0.04651 0.006409 0.04167 0.006424 0.01686 0.03616 0.007744 0.1377 0.0516 0.1025 1.7595
55 0.02223 0.004982 0.01919 0.004101 0.02582 0.003272 0.02884 0.002996 0.04177 0.003736 0.03754 0.00362 0.04121 0.008338 0.005891223 0.07939605 0.007440189 0.1601043 -0.03159893 0.1204173 1.7685
56 -0.00258 0.007463 0.004434 0.005394 0.004282 0.004671 0.01321 0.003089 0.02426 0.004329 0.02243 0.004178 0.02855 0.005608 -0.02240327 0.1284361 0.0101258 0.1416537 -0.01601286 0.1192983 1.7785
57 0.007478 0.003848 0.01063 0.003752 0.004693 0.002643 0.01099 0.002378 0.01706 0.003276 0.01929 0.002943 0.01626 0.002371 0.05074 0.0247 0.07064 0.1103 0.009215 0.1016 1.8250000476837158
58 0.00785 0.006037 0.007001 0.005169 0.01228 0.003868 0.02187 0.003327 0.03903 0.004157 0.0387 0.003879 0.04289 0.006545 -0.01307 0.02449 0.1936 0.09636 0.2543 0.1105 1.875
59 0.009149 0.003381 0.01235 0.00311 0.009898 0.002236 0.008982 0.002332 0.01301 0.00309 0.01363 0.002957 0.01098 0.002797 0.06483 0.02632 0.1676 0.1339 0.1059 0.08294 1.89005
60 0.0004167 0.003924 0.004323 0.003391 0.004578 0.002477 0.005885 0.002518 0.004766 0.00333 0.009643 0.003223 0.009216 0.003041 -0.007102 0.01743 -0.06597 0.1218 -0.04852 0.1197 1.92
61 0.01555 0.009682 0.01005 0.005775 0.01564 0.004941 0.02466 0.006159 0.02553 0.007253 0.05633 0.009659 0.04421 0.008124 0.0523507 0.09160686 -0.1075085 0.1620233 0.2096198 0.09547488 2.02
62 0.0358 0.01028 0.03339 0.00658 0.04314 0.005662 0.05212 0.003972 0.05712 0.004498 0.08701 0.006363 0.07787 0.005557 0.03373398 0.1107395 0.09259126 0.05523139 -0.09093519 0.05604173 2.036
63 0.02055 0.002927 0.02233 0.002869 0.01932 0.002013 0.01873 0.001961 0.02462 0.002252 0.02636 0.002173 0.02638 0.002956 0.01109 0.02047 -0.1494 0.09116 -0.08137 0.1265 2.054999
64 0.007658 0.004309 0.01171 0.003737 0.01042 0.002671 0.008521 0.002691 0.01342 0.003596 0.01149 0.003452 0.00689 0.003249 0.06623 0.02684 0.1627 0.1686 0.1498 0.1618 2.065
65 0.002621 0.005783 0.01744 0.005059 0.02794 0.004981 0.03219 0.00379 0.03245 0.005522 0.03076 0.005323 0.03754 0.006033 0.02534 0.03566 0.07281 0.1995 0.05825 0.1512 2.164999
66 0.01495 0.002747 0.01713 0.002529 0.01531 0.002266 0.0137 0.001988 0.02186 0.002953 0.02306 0.002838 0.02723 0.003753 -0.009427 0.03412 0.06297 0.1351 0.04699 0.1056 2.2325
