#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
59 0.02164 0.007682 0.01416 0.004821 0.02075 0.004071 0.04695 0.006221 0.04945 0.005408 0.09699 0.01116 0.07791 0.007681 0.07133128 0.1249719 0.1284609 0.1294559 0.03504566 0.1232683 1.27015 6.0 429.0
60 0.05823 0.009607 0.06764 0.006092 0.07198 0.005101 0.1515 0.004354 0.1642 0.004942 0.2052 0.007027 0.2216 0.005749 0.26129 0.1280992 -67.0 -67.0 -67.0 -67.0 1.3885 6.0 431.0
61 0.002852 0.004787 -0.001012 0.003182 0.006 0.002728 0.02437 0.002454 0.01753 0.002777 0.02436 0.003978 0.02894 0.003408 -0.0571649 0.1005229 -67.0 -67.0 -67.0 -67.0 6.160999 6.0 433.0
62 0.07189 0.01288 0.05791 0.008043 0.09956 0.006787 0.2039 0.005646 0.2067 0.005668 0.2025 0.009575 0.2287 0.007064 0.2393753 0.1361669 -67.0 -67.0 -67.0 -67.0 1.2526999711990356 6.0 434.0
63 -0.002494 0.009369 0.00529 0.006047 0.006773 0.005078 0.01081 0.003274 0.01113 0.003754 0.00979 0.005551 0.02094 0.004547 -0.004408373 0.1030879 -67.0 -67.0 -67.0 -67.0 2.987 6.0 436.0
64 0.08042 0.01557 0.1605 0.01027 0.4194 0.009102 0.7315 0.007712 0.939 0.008688 1.128 0.01317 1.252 0.009384 2.210675 0.1739511 -67.0 -67.0 -67.0 -67.0 1.197100043296814 6.0 437.0
65 0.01703 0.009517 0.0191 0.006036 0.05835 0.005163 0.07763 0.004846 0.1001 0.00541 0.1205 0.008001 0.1376 0.006404 0.3264537 0.1362243 -67.0 -67.0 -67.0 -67.0 0.746 6.0 438.0
66 0.008673 0.008773 0.03689 0.00571 0.1029 0.004874 0.1511 0.005253 0.1799 0.005658 0.2185 0.008894 0.2428 0.006791 0.212456 0.1349575 -67.0 -67.0 -67.0 -67.0 0.5528 6.0 439.0
67 -0.001363 0.005225 0.002179 0.003369 0.008739 0.002904 0.01155 0.003292 0.01521 0.003319 0.02286 0.005367 0.02471 0.004578 0.05306836 0.1039355 -67.0 -67.0 -67.0 -67.0 3.7425 6.0 442.0
68 -0.0003939 0.005124 0.00452 0.003374 0.006286 0.002884 0.01208 0.002326 0.01341 0.002658 0.02217 0.003716 0.02426 0.002828 -67.0 -67.0 -67.0 -67.0 -67.0 -67.0 2.4845 6.0 443.0
69 0.003168 0.004496 0.007701 0.00294 0.01002 0.002437 0.005061 0.002906 0.004347 0.002907 0.0006781 0.004702 0.01467 0.003542 0.0619776 0.1070281 -0.1466619 0.2979605 0.08877881 0.2054253 2.949 6.0 444.0
70 0.004262 0.004394 0.01427 0.002894 0.01868 0.002391 0.01191 0.002031 0.01082 0.002317 0.01195 0.003227 0.01675 0.002601 0.009753202 0.09458315 -67.0 -67.0 -67.0 -67.0 3.318 6.0 447.0
71 0.0005301 0.00453 0.0004479 0.002897 0.005026 0.002514 0.006277 0.002159 0.009626 0.002475 0.008434 0.003472 0.01245 0.003014 -67.0 -67.0 -67.0 -67.0 -67.0 -67.0 5.05 6.0 448.0
72 0.0009657 0.005214 0.002006 0.003342 0.01833 0.00285 0.01514 0.003347 0.01587 0.003463 0.0187 0.00546 0.02472 0.006248 0.09518354 0.1108928 0.1414279 0.2510528 -0.06772508 0.1923258 4.491 6.0 450.0
73 0.01095 0.006913 0.008851 0.004386 0.02133 0.003748 0.0275 0.003288 0.03703 0.003726 0.04194 0.005292 0.04278 0.004404 -67.0 -67.0 -67.0 -67.0 -67.0 -67.0 0.895 6.0 452.0
74 0.1609 0.0116 0.2751 0.007993 0.3055 0.006373 0.2991 0.008453 0.3107 0.00748 0.4801 0.01407 0.5692 0.009821 0.5977944 0.1326718 -67.0 -67.0 -67.0 -67.0 2.842600107192993 6.0 455.0
75 -0.0003711 0.008148 0.01488 0.005223 0.0656 0.004562 0.09387 0.00382 0.1071 0.004327 0.1294 0.006404 0.1405 0.005243 -67.0 -67.0 -67.0 -67.0 -67.0 -67.0 4.445 6.0 457.0
76 0.007129 0.01053 0.02693 0.00677 0.08431 0.005784 0.1353 0.004941 0.163 0.005616 0.19 0.007925 0.2154 0.006745 0.3090086 0.1349451 -67.0 -67.0 -67.0 -67.0 0.7 6.0 458.0
77 0.0112 0.006474 0.006375 0.004194 0.004456 0.00361 0.009654 0.003127 0.01164 0.003553 0.01244 0.004995 0.01868 0.002807 0.01538469 0.1010045 -67.0 -67.0 -67.0 -67.0 2.2015 6.0 459.0
78 0.07462 0.01415 0.07511 0.009068 0.09776 0.007584 0.266 0.01269 0.3039 0.01018 1.341 3702000000.0 0.3661 0.01717 0.4244432 0.159174 -67.0 -67.0 -67.0 -67.0 1.45145 6.0 460.0
79 0.007618 0.008457 0.005028 0.00532 0.01308 0.00446 0.01542 0.005348 0.02604 0.005331 0.01247 0.008916 0.0334 0.007289 -0.03915361 0.1061785 0.06553052 0.09798925 -0.03864567 0.08602853 1.1255 6.0 461.0
80 0.009529 0.004853 0.01669 0.003136 0.02324 0.002592 0.01866 0.002184 0.01334 0.002506 0.01532 0.003468 0.02111 0.003059 0.05581702 0.09737718 -67.0 -67.0 -67.0 -67.0 0.588 6.0 462.0
81 0.000534 0.009075 0.01349 0.005855 0.04868 0.004969 0.06991 0.005055 0.08028 0.005447 0.1281 0.008326 0.1315 0.007592 0.008579514 0.1339213 -67.0 -67.0 -67.0 -67.0 0.624 6.0 464.0
82 0.01285 0.008376 0.01879 0.005268 0.03337 0.00441 0.02321 0.005518 0.02453 0.005335 0.02669 0.008622 0.03202 0.00638 -0.009638409 0.1004115 -67.0 -67.0 -67.0 -67.0 0.581 6.0 466.0
83 0.01708 0.006087 0.01464 0.003792 0.03362 0.003254 0.03132 0.002724 0.03157 0.003094 0.0272 0.004346 0.0379 0.003561 0.01509049 0.108208 0.01077629 0.1157927 0.1167002 0.1117656 0.781 6.0 467.0
84 0.002223 0.002723 0.0005429 0.001758 0.002611 0.001563 0.003391 0.001318 0.006016 0.001508 0.006777 0.002178 0.009063 0.001911 -0.03174025 0.09436683 -67.0 -67.0 -67.0 -67.0 1.7245 6.0 468.0
85 0.04928 0.01997 0.2627 0.01359 0.8502 0.01173 1.352 0.00877 1.678 0.00975 2.021 0.01492 2.233 0.009516 2.935611 0.1656258 -67.0 -67.0 -67.0 -67.0 0.5315999984741211 6.0 469.0
86 0.159 0.00905 0.2118 0.005727 0.4103 0.004672 0.494 0.003689 0.601 0.004046 0.6943 0.00621 0.661 0.004083 0.77316 0.1144355 -67.0 -67.0 -67.0 -67.0 0.942799985408783 6.0 470.0
87 0.003095 0.004632 0.001206 0.002949 0.005492 0.002511 0.009156 0.001508 0.008909 0.001722 0.009524 0.002542 0.01174 0.002173 -67.0 -67.0 -67.0 -67.0 -67.0 -67.0 0.9835 6.0 471.0
88 -0.006575 0.005283 0.005718 0.003441 0.01761 0.002935 0.02146 0.002439 0.027 0.002789 0.03746 0.003916 0.04424 0.003711 -67.0 -67.0 -67.0 -67.0 -67.0 -67.0 3.92375 6.0 474.0
89 0.01131 0.006925 0.01131 0.004346 0.0103 0.003668 0.01424 0.003123 0.006651 0.003556 0.01252 0.004954 0.02463 0.005828 -0.06164115 0.1086985 0.0962182 0.05871353 -67.0 -67.0 1.1643 6.0 475.0
90 0.038 0.01931 0.06706 0.0124 0.0682 0.01062 0.1115 0.008834 0.1443 0.01009 0.2095 0.0142 0.2561 0.01238 -67.0 -67.0 0.06793196 1.046087 -0.1285391 0.8319287 2.4745 6.0 476.0
91 0.002971 0.004105 0.003399 0.00266 0.00374 0.002207 0.006363 0.002227 0.007362 0.002427 0.00935 0.00369 0.01535 0.002692 0.04447469 0.09940588 -67.0 -67.0 -67.0 -67.0 2.643 6.0 478.0
92 -0.007747 0.01527 0.03116 0.009857 0.03578 0.008451 0.09981 0.007067 0.1143 0.008118 0.2017 0.01136 0.2325 0.01133 -67.0 -67.0 -67.0 -67.0 -67.0 -67.0 3.21 6.0 480.0
93 0.02467 0.008751 0.09458 0.005901 0.1036 0.004784 0.09663 0.005775 0.1026 0.005744 0.1147 0.009405 0.149 0.007766 0.218182 0.1385324 0.2516955 0.08122241 0.2173387 0.07745019 3.124499 6.0 481.0
94 0.1166 0.01301 0.2438 0.008922 0.2906 0.007321 0.3527 0.006341 0.3839 0.007147 0.5216 0.01029 0.6603 0.008567 0.8837762 0.1533748 -67.0 -67.0 -67.0 -67.0 2.6895 6.0 482.0
95 0.01585 0.007934 0.01891 0.005032 0.05401 0.004266 0.06822 0.003603 0.08015 0.00411 0.09595 0.005795 0.1076 0.005084 0.1504049 0.1253873 0.09363791 0.1156664 -0.0694025 0.1151286 0.61 6.0 483.0
96 0.0563 0.008846 0.07605 0.005978 0.1041 0.00496 0.1642 0.004308 0.186 0.004859 0.223 0.006987 0.232 0.006216 0.2081048 0.137613 -67.0 -67.0 -67.0 -67.0 0.67 6.0 484.0
97 0.01714 0.005239 0.01379 0.003296 0.0129 0.00272 0.01516 0.002378 0.01965 0.002804 0.02868 0.003836 0.03739 0.003484 0.07877615 0.1033702 0.1408798 0.06100185 -0.024113 0.05731438 2.4869 6.0 486.0
98 0.004305 0.01163 0.02211 0.007454 0.05293 0.006322 0.0881 0.005412 0.119 0.006168 0.1501 0.008668 0.1803 0.007233 0.1738157 0.1404864 -67.0 -67.0 -67.0 -67.0 0.5495 6.0 487.0
99 0.01055 0.005461 0.016 0.003499 0.0137 0.002828 0.01598 0.001799 0.01257 0.00205 0.0198 0.002962 0.01988 0.002959 -0.09964593 0.1072981 -67.0 -67.0 -67.0 -67.0 1.96015 6.0 488.0
100 0.01266 0.01015 0.009701 0.006444 0.02782 0.00546 0.02181 0.005243 0.05249 0.005811 0.04308 0.008702 0.06777 0.008799 0.1491878 0.1267442 -0.01186524 0.08389585 0.008639458 0.08054038 0.91735 6.0 489.0
101 0.001149 0.007099 0.008061 0.004612 0.03336 0.003972 0.05135 0.003359 0.05671 0.003881 0.07499 0.00544 0.08742 0.004672 0.1714368 0.1188642 -67.0 -67.0 -67.0 -67.0 4.1865 6.0 491.0
102 0.0008265 0.004428 0.0005944 0.002777 0.004131 0.002358 0.004551 0.002035 0.006143 0.002325 0.01101 0.003235 0.01447 0.002437 -0.005179226 0.09601799 -67.0 -67.0 -67.0 -67.0 2.534 6.0 492.0
103 0.2513 0.01453 0.4044 0.009519 0.5732 0.007639 0.715 0.01079 0.9357 0.009562 1.779 0.02113 1.295 0.01073 1.654372 0.147465 1.900249 0.2550361 1.841588 0.1600232 1.99795 6.0 493.0
104 0.3453 0.01526 0.4689 0.009775 0.7526 0.007962 0.8644 0.008678 0.8902 0.008699 1.052 0.01439 1.151 0.009258 1.402679 0.1462608 -67.0 -67.0 -67.0 -67.0 0.5532000064849854 6.0 497.0
105 0.005681 0.003778 0.003759 0.002515 0.00476 0.002117 0.008945 0.00185 0.005981 0.002097 0.01787 0.002991 0.01265 0.002198 -0.07820346 0.09969401 -67.0 -67.0 -67.0 -67.0 1.1614 6.0 501.0
106 0.2005 0.01486 0.2304 0.009394 0.5303 0.007936 0.9012 0.00801 1.026 0.008464 1.296 0.01346 1.449 0.008748 1.85096 0.1488808 2.627638 0.08356611 2.112001 0.07029229 1.1268999576568604 6.0 502.0
107 0.00123 0.004066 0.005303 0.002667 0.006282 0.002228 0.004214 0.002001 0.01145 0.002247 0.01415 0.003193 0.02355 0.002857 0.02445308 0.1006734 -67.0 -67.0 -67.0 -67.0 2.5456 6.0 503.0
