#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original UID
66 0.001092 0.005367 0.04994 0.005619 0.09975 0.004156 0.1126 0.003728 0.1302 0.005079 0.1232 0.004544 0.1239 0.005109 0.3208 0.04286 0.1025 0.1331 0.2053 0.1299 4.106500148773193 0.0 623.0 0_623
67 0.02733 0.00539 0.04167 0.005255 0.04312 0.003877 0.05512 0.003438 0.1075 0.004692 0.1258 0.004232 0.1407 0.004788 0.211 0.03785 0.1633 0.1238 0.2561 0.1191 2.078000068664551 0.0 634.0 0_634
68 0.0007117 0.006857 0.01523 0.006967 0.01967 0.005176 0.05399 0.004623 0.1232 0.006271 0.2169 0.005684 0.3484 0.005751 1.055 0.03891 2.263 0.1509 3.283 0.1524 2.555000066757202 0.0 637.0 0_637
69 0.4413 0.02401 0.5767 0.02337 0.7691 0.0175 1.118 0.01227 1.375 0.01694 1.456 0.0153 1.367 0.01886 1.307 0.06792 -67.0 -67.0 -67.0 -67.0 1.4199999570846558 0.0 642.0 0_642
70 0.1021 0.00835 0.1198 0.008013 0.1796 0.005982 0.3832 0.005333 0.4714 0.007339 0.5338 0.006632 0.6122 0.006344 0.9422 0.03898 -67.0 -67.0 -67.0 -67.0 1.381600022315979 0.0 649.0 0_649
71 0.1454 0.007146 0.2169 0.006637 0.2341 0.004907 0.259 0.005971 0.4308 0.008354 0.5268 0.007638 0.5977 0.007062 0.8066 0.03487 1.032 0.1294 1.105 0.1273 2.2613000869750977 0.0 674.0 0_674
72 0.04867 0.004783 0.05462 0.004566 0.06394 0.00332 0.0896 0.002982 0.1223 0.004098 0.1491 0.003712 0.1366 0.003946 0.1825 0.03548 0.07129 0.1053 0.09839 0.09999 1.8581000566482544 0.0 676.0 0_676
73 0.6894 0.02726 0.9263 0.02432 1.325 0.01837 2.385 0.01237 3.347 0.01757 3.706 0.01596 3.974 0.01275 4.171 0.06459 5.705 0.6988 -67.0 -67.0 1.7050000429153442 0.0 682.0 0_682
74 0.0548 0.006555 0.1017 0.006407 0.09069 0.004635 0.09178 0.004023 0.1227 0.005459 0.1505 0.004922 0.1718 0.005399 0.2195 0.0426 0.1944 0.1073 0.1835 0.1107 2.440000057220459 0.0 705.0 0_705
75 0.1093 0.007694 0.139 0.0075 0.1736 0.005446 0.2631 0.00488 0.3283 0.006756 0.3422 0.006022 0.3117 0.006508 0.4962 0.04669 0.2758 0.1239 0.2522 0.1225 1.472000002861023 0.0 708.0 0_708
76 0.105 0.007937 0.1053 0.007721 0.1259 0.005603 0.2 0.005026 0.2634 0.006896 0.3031 0.006196 0.3152 0.006415 0.3483 0.0469 0.4364 0.1742 0.3426 0.1724 1.7999999523162842 0.0 728.0 0_728
77 0.1223 0.01505 0.5793 0.01396 0.8778 0.01033 1.05 0.01094 1.255 0.01524 1.513 0.01356 1.7 0.01341 2.468 0.05322 1.935 0.463 2.026 0.3152 0.34549999237060547 0.0 749.0 0_749
78 0.01568 0.006062 0.04454 0.006055 0.08118 0.004476 0.1044 0.003925 0.1041 0.005325 0.107 0.004767 0.1177 0.005262 0.3556 0.04142 -67.0 -67.0 -67.0 -67.0 3.7016000747680664 0.0 753.0 0_753
79 0.04477 0.007016 0.06311 0.007049 0.06589 0.005234 0.1011 0.004652 0.1176 0.006406 0.132 0.005765 0.1445 0.01127 0.1638 0.04859 -67.0 -67.0 -67.0 -67.0 1.5893000364303589 0.0 761.0 0_761
80 0.000624 0.006811 0.1425 0.006613 0.2684 0.004905 0.2779 0.004146 0.2854 0.005654 0.2974 0.005088 0.2842 0.005105 0.5587 0.0389 0.6648 0.1465 0.4989 0.124 4.0742998123168945 0.0 786.0 0_786
81 0.03077 0.01534 0.1641 0.01626 0.3072 0.01209 0.4563 0.0112 0.5547 0.01572 0.5818 0.01489 0.7887 0.00948 0.56 0.06486 -67.0 -67.0 -67.0 -67.0 0.009999999776482582 0.0 793.0 0_793
82 0.8351 0.01842 0.9198 0.01699 0.9745 0.01211 1.434 0.01086 2.049 0.01508 2.256 0.01363 2.18 0.01335 2.356 0.08472 3.298 0.2569 3.478 0.2473 1.819599986076355 0.0 828.0 0_828
83 0.3419 0.01221 0.372 0.01013 0.3084 0.007368 0.4573 0.006246 0.551 0.008606 0.5336 0.007758 0.3885 0.007498 0.4885 0.04805 -67.0 -67.0 -67.0 -67.0 1.6174999475479126 0.0 836.0 0_836
84 0.254 0.009733 0.253 0.00872 0.3054 0.006402 0.4719 0.005494 0.5378 0.007604 0.5583 0.006817 0.5621 0.00696 0.6774 0.04154 0.9048 0.2855 0.955 0.2546 1.4989999532699585 0.0 877.0 0_877
85 0.01682 0.004145 0.01139 0.003963 0.0137 0.0029 0.02013 0.002592 0.04041 0.003524 0.04518 0.003173 0.04724 0.003728 0.07205 0.03981 -0.08029 0.1752 -0.1338 0.166 2.0053999423980713 0.0 907.0 0_907
86 0.01155 0.00694 0.01167 0.007044 0.135 0.005211 0.1627 0.004644 0.1716 0.006376 0.1667 0.005726 0.1907 0.005781 0.3089 0.04699 0.1603 0.5304 0.2519 0.3521 4.818999767303467 0.0 910.0 0_910
