#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
11 0.006337 0.00279 0.01044 0.002781 0.0055 0.002048 0.01028 0.001922 0.008362 0.00257 0.01516 0.002324 0.01223 0.002666 -0.002868 0.02841 0.05502 0.1236 0.01061 0.11 1.9144999980926514 0.0 211.0
12 0.005521 0.003111 0.003762 0.003124 0.003894 0.002309 0.003084 0.002087 0.01219 0.002831 0.01074 0.00253 0.01378 0.002249 0.0319 0.03009 -67.0 -67.0 0.07255 0.1145 2.053299903869629 0.0 244.0
13 0.009609 0.003025 0.01177 0.003057 0.01029 0.00224 0.0131 0.002049 0.0155 0.002769 0.01772 0.002478 0.02108 0.003434 0.02911 0.02968 0.2949 0.2298 0.2459 0.2127 2.1875 0.0 247.0
14 0.0006248 0.003492 0.007095 0.003622 0.004467 0.002632 0.006244 0.002341 0.01465 0.003195 0.01223 0.002864 0.01484 0.00243 0.04545 0.02888 0.02955 0.1587 0.02391 0.1465 1.8294999599456787 0.0 252.0
15 0.004656 0.002304 0.005808 0.002397 0.006416 0.001782 0.005633 0.001626 0.01018 0.002187 0.0155 0.001968 0.01396 0.002207 0.08285 0.02464 -0.09701 0.1005 -0.01764 0.1049 2.184999942779541 0.0 303.0
16 0.03196 0.005523 0.05106 0.005754 0.06323 0.004266 0.1118 0.003935 0.18 0.005381 0.2336 0.00486 0.2539 0.004915 0.5555 0.03326 1.319 0.1191 1.428 0.1209 1.933899998664856 0.0 338.0
17 0.0263 0.005452 0.02868 0.004828 0.02995 0.003526 0.03096 0.003039 0.04078 0.004065 0.05308 0.003663 0.05288 0.00403 0.07766 0.03983 -0.2558 0.1306 -0.1844 0.1298 2.1710000038146973 0.0 361.0
18 0.004372 0.002718 0.01258 0.002842 0.007804 0.002039 0.01123 0.001882 0.01509 0.002553 0.0177 0.002294 0.0182 0.00266 0.02501 0.02867 0.06971 0.1579 0.03893 0.1425 2.0 0.0 374.0
19 0.01662 0.003081 0.01102 0.002991 0.01056 0.002216 0.01664 0.001994 0.02304 0.002713 0.02653 0.002426 0.03144 0.003002 0.1183 0.03246 0.3872 0.1441 0.3019 0.141 2.059999942779541 0.0 402.0
20 0.009511 0.004251 0.02865 0.004322 0.02442 0.003268 0.03504 0.004237 0.07306 0.00598 0.0858 0.005315 0.1028 0.005886 0.1408 0.0351 0.4775 0.1002 0.3988 0.1093 2.174999952316284 0.0 448.0
