#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
51 0.1742 0.01413 0.2093 0.01274 0.1864 0.01115 0.1357 0.03526 0.2257 0.0344 0.0 -99.0 0.0 -99.0 0.5068 0.03514 0.01223 0.2189 2.331 0.2186 2.425 1.0 23243.0
52 0.001534 0.00276 0.009968 0.002598 0.02291 0.00232 0.02494 0.001973 0.02605 0.00289 0.02386 0.002778 0.02912 0.003413 0.04667 0.03211 -0.06456 0.1028 -0.06088 0.08947 2.46 1.0 621.0
53 0.001813 0.0113 0.003404 0.01041 0.0221 0.009491 0.04001 0.01182 0.03181 0.01721 0.102 0.01682 0.1362 0.01316 0.09291 0.04721 -0.1422 0.1394 -0.04944 0.1536 2.503 1.0 897.0
54 0.03026 0.005045 0.03241 0.004535 0.03209 0.003997 0.02082 0.003485 0.02302 0.005038 0.0336 0.004925 0.04689 0.006901 0.02888 0.03781 0.02166 0.1466 0.07704 0.1266 2.54 1.0 582.0
55 0.02071 0.01266 0.02126 0.01139 0.02787 0.01021 0.03325 0.009446 0.02766 0.01373 0.06014 0.0134 0.08404 0.008681 0.02723 0.03741 0.1126 0.385 0.08908 0.3122 2.541999 1.0 1147.0
56 0.02516 0.003241 0.02156 0.002879 0.01938 0.002565 0.02171 0.002215 0.02104 0.003221 0.02711 0.003146 0.06558 0.003782 0.05756 0.02771 -0.2396 0.112 -0.3303 0.09742 2.638 1.0 1909.0
57 0.002766 0.00639 0.00896 0.005901 -0.0001432 0.005128 0.008297 0.004587 -0.002895 0.006678 -8.368e-05 0.006503 0.02505 0.006345 -0.001809 0.03153 -0.03763 0.1227 -0.04678 0.1171 2.705 1.0 993.0
58 0.06684 0.004772 0.08072 0.004395 0.08528 0.003904 0.08613 0.003385 0.09315 0.004963 0.1048 0.004813 0.2144 0.005339 0.2071 0.04134 0.06746 0.16 0.05446 0.1366 2.71 1.0 433.0
59 0.05587 0.007014 0.1464 0.006708 0.1527 0.005846 0.1653 0.005128 0.1811 0.007512 0.2371 0.007298 0.321 0.00755 0.3467 0.05 0.5526 0.1873 0.4505 0.1481 2.8 1.0 1285.0
60 0.002016 0.003041 0.004344 0.002826 0.003089 0.002557 0.00566 0.002309 0.008768 0.003369 0.003935 0.003336 0.01157 0.002838 0.02054 0.03372 -0.03595 0.124 -0.01209 0.1119 2.8185 1.0 20736.0
61 0.007152 0.00313 0.008557 0.002855 0.009759 0.002573 0.009014 0.002266 0.00859 0.003294 0.01289 0.003184 0.01363 0.002911 0.04122 0.03215 0.08036 0.1179 0.1074 0.1053 2.8195 1.0 318.0
62 0.003009 0.006591 0.01918 0.006447 0.01185 0.005798 0.02129 0.005371 0.02297 0.007769 0.02048 0.00757 0.03575 0.006601 0.04838 0.03665 0.06194 0.155 -0.03316 0.1221 2.8945 1.0 22421.0
63 0.004016 0.002458 0.009372 0.002252 0.01308 0.002034 0.009651 0.001851 0.01304 0.002738 0.01647 0.002663 0.02197 0.002914 0.02822 0.02885 -0.1312 0.166 -0.2745 0.1435 2.8995 1.0 1174.0
64 0.07241 0.006885 0.183 0.006669 0.2587 0.006056 0.2577 0.006896 0.3114 0.01012 0.3326 0.009688 0.4705 0.01052 0.6252 0.04863 0.8585 0.2096 0.8847 0.1494 3.054999 1.0 1437.0
65 0.03333 0.004187 0.07405 0.003951 0.07644 0.003392 0.07586 0.002994 0.07497 0.004372 0.08513 0.004257 0.1086 0.004932 0.1684 0.04062 0.2186 0.1992 0.2256 0.1409 3.0775 1.0 1145.0
66 0.006331 0.003115 0.01512 0.0029 0.01449 0.002522 0.01824 0.002213 0.01409 0.003228 0.01469 0.003102 0.02194 0.003759 0.03578 0.02971 0.01944 0.1694 -0.03256 0.1449 3.157899 1.0 1043.0
67 0.002905 0.003375 0.02526 0.003202 0.02211 0.002809 0.02718 0.002454 0.03067 0.0036 0.0347 0.003468 0.04537 0.003769 0.1151 0.03466 0.08464 0.125 0.06662 0.1082 3.170499 1.0 1336.0
68 0.04755 0.004851 0.1071 0.004533 0.1142 0.004015 0.1131 0.003497 0.1119 0.005093 0.13 0.004962 0.1573 0.00611 0.3211 0.04084 0.3852 0.1327 0.3608 0.1065 3.190999 1.0 1127.0
69 0.008243 0.003952 0.02933 0.003634 0.03759 0.003298 0.03276 0.002876 0.03877 0.004244 0.04199 0.004058 0.05465 0.004941 0.09231 0.0316 -0.2116 0.3671 -0.2558 0.3044 3.2237 1.0 1125.0
70 0.00938 0.002771 0.01881 0.002639 0.02279 0.002381 0.0197 0.002933 0.02702 0.004325 0.02102 0.004133 0.03014 0.003636 0.089 0.03281 0.1078 0.1184 0.04455 0.09545 3.2625 1.0 1281.0
71 0.002677 0.002141 0.004434 0.001959 0.005851 0.001762 0.005614 0.001744 0.006033 0.002463 0.007709 0.002478 0.01325 0.00203 0.07293 0.02996 -0.4224 1.365 -0.3538 0.6646 3.2997 1.0 2325.0
72 0.03231 0.004697 0.07034 0.004412 0.07325 0.003902 0.05841 0.003336 0.05072 0.004881 0.05124 0.004703 0.0685 0.00623 0.1106 0.04018 0.07834 0.1305 0.06718 0.1114 3.30165 1.0 982.0
73 0.02049 0.0039 0.05576 0.003687 0.07096 0.003383 0.06603 0.002954 0.06942 0.004363 0.07461 0.004197 0.09272 0.004949 0.1805 0.03608 0.1911 0.1021 0.2063 0.09306 3.310899 1.0 104.0
74 0.005404 0.002648 0.006512 0.002413 0.009995 0.002216 0.009007 0.001945 0.006189 0.002848 0.01507 0.002771 0.009866 0.00238 0.07614 0.03191 0.1436 0.1812 0.1285 0.2002 3.3415 1.0 20423.0
75 1.504 0.02805 5.039 0.02901 9.648 0.02751 0.0 -99.0 0.0 -99.0 0.0 -99.0 6.988 0.1042 8.234 0.07437 18.08 0.3831 15.48 0.2482 3.48 1.0 2257.0
76 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 -0.01844 0.01855 -0.2786 0.9087 -0.1074 0.7713 3.55 1.0 21308.0
77 0.0003053 0.001783 0.003334 0.001702 0.00626 0.00156 0.008118 0.001385 0.007747 0.002025 0.008242 0.001943 0.01122 0.002168 0.01839 0.02659 0.06066 0.1087 0.01767 0.1007 3.624 1.0 1488.0
78 0.001027 0.002319 0.007023 0.002159 0.008839 0.001927 0.006385 0.001702 0.005832 0.002485 0.00848 0.00241 0.006692 0.0021 0.02891 0.02912 -0.008811 0.1003 0.004203 0.08885 3.62865 1.0 22093.0
79 0.003454 0.003017 0.02139 0.002888 0.0251 0.002526 0.0216 0.002214 0.02269 0.003269 0.02265 0.003138 0.01874 0.003544 0.03354 0.03547 -0.08434 0.1075 -0.1355 0.0927 3.645 1.0 1029.0
80 0.01845 0.006738 0.1648 0.006527 0.2515 0.006045 0.26 0.005238 0.2621 0.007685 0.2643 0.007429 0.2751 0.01166 0.4348 0.05115 0.2438 0.2701 0.2945 0.2117 3.7745 1.0 45.0
81 0.0001072 0.002604 0.01119 0.002507 0.014 0.002142 0.01236 0.001882 0.01341 0.002742 0.009495 0.002643 0.01602 0.003256 -0.007423 0.03738 -0.01548 0.1161 -0.02697 0.1032 3.835 1.0 985.0
82 -0.0002475 0.003519 0.01239 0.003299 0.01534 0.002994 0.01832 0.002645 0.01658 0.003903 0.0159 0.003734 0.01471 0.00324 0.02803 0.03583 -0.1275 0.102 -0.2042 0.09305 3.841 1.0 20449.0
83 -0.003127 0.003929 0.02902 0.003754 0.03104 0.003327 0.03658 0.002914 0.02895 0.004268 0.03087 0.004107 0.0374 0.004135 0.02847 0.04206 0.08837 0.1088 0.06621 0.09742 3.844999 1.0 809.0
84 -0.0009595 0.002946 0.005611 0.002767 0.007274 0.002456 0.007332 0.002095 0.004868 0.003069 0.006308 0.003053 0.008455 0.002571 0.03178 0.02731 -0.07033 0.1135 -0.07738 0.09848 3.8525 1.0 21791.0
