Wavelength(um),Flux(Jy),Error(Jy),BG(Jy),Order,Module
2.82775,0.0272595,0,0,0,-2
2.82781,0.0270996,0,0,0,-2
2.8286,0.0242713,0,0,0,-2
2.84113,0.025671,0,0,0,-2
2.84119,0.0255778,0,0,0,-2
2.84198,0.0234445,0,0,0,-2
2.84278,0.0232802,0,0,0,-2
2.84284,0.0233118,0,0,0,-2
2.84363,0.0241122,0,0,0,-2
2.84369,0.0241289,0,0,0,-2
2.8495,0.0223818,0,0,0,-2
2.84955,0.0223744,0,0,0,-2
2.85532,0.02212,0,0,0,-2
2.85537,0.0220499,0,0,0,-2
2.85617,0.0189042,0,0,0,-2
2.85623,0.0188513,0,0,0,-2
2.85703,0.0201796,0,0,0,-2
2.85783,0.0212611,0,0,0,-2
2.85789,0.0212954,0,0,0,-2
2.85954,0.0202775,0,0,0,-2
2.86035,0.0171127,0,0,0,-2
2.8604,0.0170001,0,0,0,-2
2.8612,0.0180118,0,0,0,-2
2.86201,0.0190048,0,0,0,-2
2.86206,0.0190343,0,0,0,-2
2.86286,0.0181247,0,0,0,-2
2.86292,0.0180887,0,0,0,-2
2.86372,0.0178298,0,0,0,-2
2.86453,0.0181365,0,0,0,-2
2.86458,0.018191,0,0,0,-2
2.86538,0.0193326,0,0,0,-2
2.86619,0.0175321,0,0,0,-2
2.86624,0.0174121,0,0,0,-2
2.86705,0.0172887,0,0,0,-2
2.8671,0.0172996,0,0,0,-2
2.86785,0.0175715,0,0,0,-2
2.86791,0.0176048,0,0,0,-2
2.86871,0.0184477,0,0,0,-2
2.86877,0.018476,0,0,0,-2
2.86957,0.0184486,0,0,0,-2
2.87204,0.017407,0,0,0,-2
2.8721,0.0173482,0,0,0,-2
2.8729,0.0157955,0,0,0,-2
2.87296,0.0157103,0,0,0,-2
2.87371,0.014811,0,0,0,-2
2.87376,0.0147753,0,0,0,-2
2.87457,0.0151452,0,0,0,-2
2.87463,0.0151793,0,0,0,-2
2.87537,0.015692,0,0,0,-2
2.87543,0.0157033,0,0,0,-2
2.87624,0.0147864,0,0,0,-2
2.87629,0.0148299,0,0,0,-2
2.8771,0.0165832,0,0,0,-2
2.8779,0.0160425,0,0,0,-2
2.87796,0.016009,0,0,0,-2
2.87877,0.0156098,0,0,0,-2
2.87957,0.0151315,0,0,0,-2
2.87963,0.0151172,0,0,0,-2
2.88044,0.0151393,0,0,0,-2
2.88124,0.0147901,0,0,0,-2
2.8813,0.014806,0,0,0,-2
2.88211,0.0158413,0,0,0,-2
2.88292,0.016471,0,0,0,-2
2.88297,0.0164618,0,0,0,-2
2.88378,0.0156195,0,0,0,-2
2.88459,0.0151121,0,0,0,-2
2.88465,0.0150985,0,0,0,-2
2.88545,0.0152079,0,0,0,-2
2.88626,0.0147954,0,0,0,-2
2.88632,0.0148354,0,0,0,-2
2.88713,0.0162239,0,0,0,-2
2.88794,0.0169078,0,0,0,-2
2.888,0.0168446,0,0,0,-2
2.8888,0.0148247,0,0,0,-2
2.88961,0.0137439,0,0,0,-2
2.88967,0.0136549,0,0,0,-2
2.89042,0.0123611,0,0,0,-2
2.89048,0.0123074,0,0,0,-2
2.89129,0.013396,0,0,0,-2
2.89135,0.0134044,0,0,0,-2
2.8921,0.0128945,0,0,0,-2
2.89216,0.0128429,0,0,0,-2
2.89297,0.0121695,0,0,0,-2
2.89302,0.0121321,0,0,0,-2
2.89378,0.0117171,0,0,0,-2
2.89383,0.0116998,0,0,0,-2
2.89464,0.0118041,0,0,0,-2
2.89546,0.0115323,0,0,0,-2
2.89551,0.0115038,0,0,0,-2
2.89632,0.0110888,0,0,0,-2
2.89714,0.0120201,0,0,0,-2
2.89719,0.0120304,0,0,0,-2
2.898,0.0115397,0,0,0,-2
2.89882,0.00975387,0,0,0,-2
2.89887,0.00971037,0,0,0,-2
2.89963,0.00971762,0,0,0,-2
2.89969,0.00976595,0,0,0,-2
2.9005,0.0111361,0,0,0,-2
2.90131,0.0114636,0,0,0,-2
2.90137,0.0114238,0,0,0,-2
2.90218,0.0100822,0,0,0,-2
2.90299,0.011157,0,0,0,-2
2.90305,0.0111876,0,0,0,-2
2.90381,0.0112294,0,0,0,-2
2.90386,0.011236,0,0,0,-2
2.90468,0.0117484,0,0,0,-2
2.90549,0.0120204,0,0,0,-2
2.90555,0.0120328,0,0,0,-2
2.90636,0.0121063,0,0,0,-2
2.90718,0.0113033,0,0,0,-2
2.90723,0.0112292,0,0,0,-2
2.90799,0.0101568,0,0,0,-2
2.90805,0.0101216,0,0,0,-2
2.90886,0.0107498,0,0,0,-2
2.90968,0.00983043,0,0,0,-2
2.90974,0.00973458,0,0,0,-2
2.91049,0.00821821,0,0,0,-2
2.91055,0.00812833,0,0,0,-2
2.91137,0.00804234,0,0,0,-2
2.91218,0.0084279,0,0,0,-2
2.91224,0.00846454,0,0,0,-2
2.913,0.00904129,0,0,0,-2
2.91305,0.00906244,0,0,0,-2
2.91387,0.00868333,0,0,0,-2
2.91469,0.00893039,0,0,0,-2
2.91475,0.00890798,0,0,0,-2
2.9155,0.00790823,0,0,0,-2
2.91556,0.00787283,0,0,0,-2
2.91638,0.00889286,0,0,0,-2
2.91719,0.00787549,0,0,0,-2
2.91725,0.00787565,0,0,0,-2
2.91801,0.00864827,0,0,0,-2
2.91807,0.00870046,0,0,0,-2
2.91889,0.00876495,0,0,0,-2
2.91895,0.00875191,0,0,0,-2
2.9197,0.00846363,0,0,0,-2
2.91976,0.008469,0,0,0,-2
2.92052,0.0088214,0,0,0,-2
2.92058,0.00886947,0,0,0,-2
2.9214,0.0101967,0,0,0,-2
2.92391,0.00849826,0,0,0,-2
2.92473,0.00915811,0,0,0,-2
2.92479,0.00911064,0,0,0,-2
2.92555,0.00769185,0,0,0,-2
2.92561,0.0076251,0,0,0,-2
2.92637,0.00726006,0,0,0,-2
2.92643,0.00724468,0,0,0,-2
2.92725,0.00753285,0,0,0,-2
2.92731,0.00752256,0,0,0,-2
2.92807,0.00717729,0,0,0,-2
2.92813,0.00714098,0,0,0,-2
2.92889,0.0065734,0,0,0,-2
2.92895,0.00654675,0,0,0,-2
2.92977,0.00670475,0,0,0,-2
2.93059,0.00701299,0,0,0,-2
2.93064,0.00702862,0,0,0,-2
2.93141,0.00718815,0,0,0,-2
2.93147,0.0071922,0,0,0,-2
2.93223,0.00715879,0,0,0,-2
2.93229,0.00718175,0,0,0,-2
2.93311,0.00817689,0,0,0,-2
2.93393,0.00779914,0,0,0,-2
2.93475,0.00692918,0,0,0,-2
2.93481,0.00689376,0,0,0,-2
2.93557,0.00675668,0,0,0,-2
2.93563,0.0067601,0,0,0,-2
2.93645,0.00726974,0,0,0,-2
2.93727,0.00735168,0,0,0,-2
2.93733,0.00739863,0,0,0,-2
2.9381,0.00830637,0,0,0,-2
2.93816,0.00833206,0,0,0,-2
2.93892,0.00826439,0,0,0,-2
2.93898,0.00822945,0,0,0,-2
2.9398,0.0072846,0,0,0,-2
2.94063,0.00684073,0,0,0,-2
2.94145,0.00720642,0,0,0,-2
2.94151,0.00724706,0,0,0,-2
2.94227,0.00789824,0,0,0,-2
2.94233,0.00786514,0,0,0,-2
2.9431,0.00653155,0,0,0,-2
2.94316,0.00644642,0,0,0,-2
2.94398,0.00600924,0,0,0,-2
2.9448,0.00634423,0,0,0,-2
2.94563,0.00698918,0,0,0,-2
2.94569,0.00700086,0,0,0,-2
2.94645,0.00684402,0,0,0,-2
2.94651,0.00683893,0,0,0,-2
2.94728,0.00684235,0,0,0,-2
2.94734,0.00683411,0,0,0,-2
2.94816,0.00650331,0,0,0,-2
2.94899,0.00732048,0,0,0,-2
2.94981,0.00769352,0,0,0,-2
2.94987,0.00766271,0,0,0,-2
2.95064,0.00684188,0,0,0,-2
2.9507,0.00677878,0,0,0,-2
2.95147,0.0059527,0,0,0,-2
2.95153,0.00593182,0,0,0,-2
2.95229,0.00624198,0,0,0,-2
2.95235,0.00626441,0,0,0,-2
2.95312,0.00648728,0,0,0,-2
2.95318,0.00648789,0,0,0,-2
2.95401,0.00586192,0,0,0,-2
2.95483,0.00676398,0,0,0,-2
2.95566,0.00673596,0,0,0,-2
2.95572,0.00668463,0,0,0,-2
2.95649,0.0056142,0,0,0,-2
2.95655,0.00557803,0,0,0,-2
2.95732,0.00567792,0,0,0,-2
2.95738,0.00570474,0,0,0,-2
2.95814,0.00629082,0,0,0,-2
2.9582,0.00631772,0,0,0,-2
2.95897,0.0061287,0,0,0,-2
2.95903,0.00611755,0,0,0,-2
2.95986,0.00633761,0,0,0,-2
2.96069,0.00579279,0,0,0,-2
2.96152,0.00582754,0,0,0,-2
2.96235,0.00552516,0,0,0,-2
2.96241,0.00551052,0,0,0,-2
2.96318,0.0053878,0,0,0,-2
2.96324,0.0054107,0,0,0,-2
2.96401,0.00600926,0,0,0,-2
2.96407,0.00599655,0,0,0,-2
2.96484,0.00508024,0,0,0,-2
2.9649,0.00502814,0,0,0,-2
2.96567,0.00480334,0,0,0,-2
2.96573,0.00478905,0,0,0,-2
2.9665,0.00453195,0,0,0,-2
2.96656,0.00452032,0,0,0,-2
2.96733,0.0047248,0,0,0,-2
2.96739,0.00476086,0,0,0,-2
2.96822,0.00590597,0,0,0,-2
2.96905,0.00638169,0,0,0,-2
2.96988,0.00580823,0,0,0,-2
2.97071,0.0052791,0,0,0,-2
2.97077,0.00532138,0,0,0,-2
2.97155,0.0064634,0,0,0,-2
2.9716,0.00644265,0,0,0,-2
2.97238,0.00540945,0,0,0,-2
2.97244,0.0054182,0,0,0,-2
2.97321,0.0063349,0,0,0,-2
2.97327,0.00637896,0,0,0,-2
2.97404,0.00664868,0,0,0,-2
2.9741,0.00665153,0,0,0,-2
2.97488,0.00649483,0,0,0,-2
2.97493,0.00648905,0,0,0,-2
2.97571,0.0065412,0,0,0,-2
2.97577,0.00650339,0,0,0,-2
2.97654,0.00549093,0,0,0,-2
2.9766,0.00543717,0,0,0,-2
2.97738,0.00520879,0,0,0,-2
