Wavelength(um),Flux(Jy),Error(Jy),BG(Jy),Order,Module
1.56108,0.0184993,0,0,0,-2
1.56133,0.0184416,0,0,0,-2
1.56136,0.0184617,0,0,0,-2
1.56161,0.0188288,0,0,0,-2
1.56164,0.0188635,0,0,0,-2
1.56189,0.0190632,0,0,0,-2
1.56192,0.0190768,0,0,0,-2
1.56217,0.0189987,0,0,0,-2
1.5622,0.0189693,0,0,0,-2
1.56249,0.0184429,0,0,0,-2
1.56277,0.0179096,0,0,0,-2
1.56305,0.0179634,0,0,0,-2
1.56333,0.0186383,0,0,0,-2
1.56361,0.0191267,0,0,0,-2
1.56389,0.0194735,0,0,0,-2
1.56417,0.0195312,0,0,0,-2
1.56421,0.019527,0,0,0,-2
1.56446,0.0194336,0,0,0,-2
1.56449,0.0193982,0,0,0,-2
1.56474,0.0189861,0,0,0,-2
1.56477,0.0189107,0,0,0,-2
1.56502,0.0181907,0,0,0,-2
1.56505,0.0181313,0,0,0,-2
1.5653,0.0178965,0,0,0,-2
1.56533,0.0179337,0,0,0,-2
1.56558,0.0187092,0,0,0,-2
1.56561,0.0188004,0,0,0,-2
1.56586,0.0193465,0,0,0,-2
1.5659,0.0193941,0,0,0,-2
1.56615,0.0195483,0,0,0,-2
1.56618,0.0195661,0,0,0,-2
1.56646,0.0197807,0,0,0,-2
1.56671,0.0200076,0,0,0,-2
1.56674,0.0200303,0,0,0,-2
1.56699,0.0200653,0,0,0,-2
1.56702,0.0200613,0,0,0,-2
1.56731,0.0199335,0,0,0,-2
1.56759,0.0195526,0,0,0,-2
1.56784,0.0194594,0,0,0,-2
1.56787,0.0194553,0,0,0,-2
1.56815,0.0194697,0,0,0,-2
1.56843,0.0194728,0,0,0,-2
1.56872,0.0198962,0,0,0,-2
1.56875,0.0199138,0,0,0,-2
1.569,0.019904,0,0,0,-2
1.56903,0.0198866,0,0,0,-2
1.56928,0.0196792,0,0,0,-2
1.56956,0.0198057,0,0,0,-2
1.5696,0.0198033,0,0,0,-2
1.56985,0.0196857,0,0,0,-2
1.56988,0.0197124,0,0,0,-2
1.57013,0.020132,0,0,0,-2
1.57016,0.0202006,0,0,0,-2
1.57041,0.0208209,0,0,0,-2
1.57044,0.0208865,0,0,0,-2
1.57069,0.0213334,0,0,0,-2
1.57073,0.0213875,0,0,0,-2
1.57098,0.0218107,0,0,0,-2
1.57101,0.0218205,0,0,0,-2
1.57126,0.0214857,0,0,0,-2
1.57129,0.0213881,0,0,0,-2
1.57154,0.0201939,0,0,0,-2
1.57157,0.0201022,0,0,0,-2
1.57183,0.0197208,0,0,0,-2
1.57186,0.0197289,0,0,0,-2
1.57211,0.0203324,0,0,0,-2
1.57214,0.0203931,0,0,0,-2
1.57239,0.0207586,0,0,0,-2
1.57242,0.0207737,0,0,0,-2
1.57267,0.0206913,0,0,0,-2
1.57271,0.0206799,0,0,0,-2
1.57296,0.0206242,0,0,0,-2
1.57299,0.0206552,0,0,0,-2
1.57324,0.0212415,0,0,0,-2
1.57327,0.0213222,0,0,0,-2
1.57352,0.0220749,0,0,0,-2
1.57356,0.0221204,0,0,0,-2
1.57381,0.0217749,0,0,0,-2
1.57384,0.0217029,0,0,0,-2
1.57409,0.0210163,0,0,0,-2
1.57412,0.0209594,0,0,0,-2
1.57437,0.0211159,0,0,0,-2
1.57441,0.0211503,0,0,0,-2
1.57466,0.0213853,0,0,0,-2
1.57469,0.0213768,0,0,0,-2
1.57494,0.0209502,0,0,0,-2
1.57497,0.0209005,0,0,0,-2
1.57522,0.0206218,0,0,0,-2
1.57526,0.0205938,0,0,0,-2
1.57554,0.0204171,0,0,0,-2
1.57579,0.0209296,0,0,0,-2
1.57582,0.0210116,0,0,0,-2
1.57608,0.0216984,0,0,0,-2
1.57611,0.0217014,0,0,0,-2
1.57636,0.0207074,0,0,0,-2
1.57639,0.0205683,0,0,0,-2
1.57664,0.0194519,0,0,0,-2
1.57667,0.0193422,0,0,0,-2
1.57693,0.0189801,0,0,0,-2
1.57696,0.0189436,0,0,0,-2
1.57721,0.0185987,0,0,0,-2
1.57724,0.0185239,0,0,0,-2
1.57749,0.0172691,0,0,0,-2
1.57753,0.0171372,0,0,0,-2
1.57778,0.016668,0,0,0,-2
1.57781,0.0166625,0,0,0,-2
1.57806,0.0178032,0,0,0,-2
1.57809,0.0179627,0,0,0,-2
1.57835,0.0188997,0,0,0,-2
1.57838,0.0189769,0,0,0,-2
1.57863,0.0192288,0,0,0,-2
1.57866,0.0192612,0,0,0,-2
1.57891,0.0196254,0,0,0,-2
1.57895,0.019673,0,0,0,-2
1.5792,0.0200493,0,0,0,-2
1.57923,0.0200898,0,0,0,-2
1.57948,0.0202507,0,0,0,-2
1.57952,0.0202704,0,0,0,-2
1.57977,0.0204958,0,0,0,-2
1.5798,0.0205339,0,0,0,-2
